Accession,106555,106559,106563,106567,106571,106579,106583,106556,106560,106564,106568,106572,106580,106584,106557,106561,106565,106569,106573,106581,106585,106562,106558,106566,106570,106574,106582,106586,SPQC1,SPQC2,SPQC3
FETUA_N176_H(5)N(4)F(4),3962959.289,2244699.12,2696348.414,3208464.492,3036024.942,4361525.562,4518121.614,2556619.529,2718262.74,2542230.632,2846827.125,1960919.385,3520876.297,2381355.927,2186174.476,2598578.625,3425029.737,2744194.323,3578181.142,2787454.089,4667494.731,1791466.331,1881685.667,1782213.116,3057147.886,1626107.015,2506745.615,3701060.138,1939589.09,2391534.901,4322188.531
FETUA_N176_H(5)N(4)S(1)_1,862722.0345,1059564.676,797101.5844,961545.9468,1090229.482,1264847.35,954663.909,882488.2162,1110822.144,941349.9456,1128926.761,755493.7849,1246371.539,1177317.445,1187313.991,1295210.12,1519504.038,1287404.983,1466784.441,1250592.719,1183010.213,1029562.949,1455279.118,774629.3534,732966.3943,874602.4406,1235726.388,1534428.783,851230.4224,873376.075,1001356.884
FETUA_N176_H(5)N(4)S(1)F(2)_1,4762428.256,2531988.461,3078107.702,4016510.82,3569525.588,5809531.813,5340760.473,2391934.413,3033752.128,2705523.359,3323677.702,1941891.798,4349097.276,2790840.546,2317578.794,3168848.932,4195595.458,3068393.776,3990998.263,2964647.174,6046018.62,2301611.991,2382422.244,1676237.482,3381953.236,1777166.391,3577734.902,4493706.311,2420462.505,2991902.53,5387443.534
FETUA_N176_H(5)N(4)S(2)_2,13165564.48,10099322.27,11110534.41,11000393.28,11028726.99,15643257.07,12813901.76,8085904.623,8398369.713,9143801.605,8463528.64,8222196.069,9167990.934,7884887.603,9450745.385,9512900.18,11674128.49,9725594.698,11569078.12,10653983.03,11666311.92,6006887.544,7975701.659,7362646.066,9772260.558,7196277.489,9411221.239,8820107.437,9868375.741,9077265.891,10476398.9
ANT3_N224_H(5)N(4)S(2)_2,762325.2902,533273.4188,852222.5071,851241.4497,948402.129,1705322.15,893557.6428,336723.958,234657.8315,107778.0342,258899.7028,137821.9517,325114.2072,167359.0938,667092.2163,1115601.665,364013.161,617730.0659,281001.0027,258163.5089,417361.3747,2599185.381,174831.0586,315804.3454,183032.6537,569550.4624,618978.3261,1244614.211,599584.9313,413098.3358,779157.505
LG3BP_N551_H(5)N(4)F(1),405781.6442,342131.3558,377417.5766,485587.7837,318201.0278,377531.4956,480254.9261,339286.4358,411601.1426,347698.641,338253.564,322860.2575,338048.508,336222.6045,254502.0505,271510.1793,259556.5102,274809.9735,249057.6558,274330.8464,308332.5338,364206.8203,361576.8999,356387.8907,369591.2057,348729.8815,372799.5129,351841.4368,336560.634,290703.1172,314361.9741
LG3BP_N551_H(5)N(4)F(2),618633.4944,678284.6251,690697.7049,783262.1304,734679.378,706739.864,797919.9979,2796962.653,2998830.696,2882150.251,3128089.805,3141454.574,2967521.235,3162209.772,711970.3832,811815.6606,832879.0297,764186.6644,757105.2126,719403.6765,897850.2666,343863.5344,155305.2796,110971.3119,233362.6762,149103.5048,148215.1724,163362.059,1309594.528,1393716.944,1437111.741
LG3BP_N551_H(5)N(4)S(1),2563734.354,2835589.863,537597.9843,3812805.044,3794166.595,2778255.271,3216827.361,4582166.338,4903583.288,5155754.664,4793991.996,5211022.198,4736739.925,4783743.96,3497148.339,3473643.325,3688142.404,3146009.368,3269368.856,4162767.651,4161354.298,2481226.959,3129891.811,7091749.186,NA,1339920.918,7021298.282,2576927.856,4558357.93,3944221.167,4884170.04
LG3BP_N551_H(5)N(4)S(1)F(1),1485719.23,1568826.388,1873392.485,2537569.869,2217026.85,1727491.561,2029619.799,2460014.374,2656505.193,2378127.141,2639016.863,2317328.012,2600876.69,2690598.809,879021.3968,695069.2049,1172823.622,775783.3937,1129518.816,671526.5451,1142313.534,1420141.192,1187866.158,1267101.801,1023652.693,1444475.942,1456868.52,1444017.147,1659430.974,1947688.804,1941665.134
LG3BP_N551_H(5)N(4)S(1)F(3),1294375.978,1781996.941,2008022.756,1910709.397,1952129.735,1987467.415,1618345.473,2127762.229,2025930.768,2143053.056,2081859.326,1853879.865,2443606.482,2425399.496,1014402.023,2067662.198,803057.6935,1185076.204,1126205.838,1272786.317,1224530.466,2374817.82,3588586.125,3760735.76,2599803.418,3741232.982,1309536.466,2995035.884,1431319.128,1890761.083,2033752.115
LG3BP_N551_H(5)N(4)S(2),943822.6953,7612745.198,26374829.91,24327581.99,1231434.863,1120628.811,16208186.18,4398151.496,4929841.769,5852697.137,5162047.392,5417773.439,6333036.279,5793681.659,1589666.643,2237554.903,1828029.687,1819793.532,1657311.316,1668495.37,2221245.681,206284.5237,23111778.97,95676.11985,29948038.54,260329.046,35721327,32025755.75,2543427.778,2464209.64,3014113.495
LG3BP_N551_H(5)N(4)S(2)F(1),1313926.313,1224706.835,1073954.022,944813.2659,1305552.523,1195956.425,1882258.23,1318087.911,1139928.682,743891.1488,1552236.667,1546633.398,1723943.334,1182509.67,NA,1301501.622,NA,846636.3894,4668449.758,1237049.418,NA,912335.6478,1538571.207,1176781.827,1684760.022,2213446.946,1320187.506,1000992.22,943584.5076,1138188.688,950541.5409
LG3BP_N551_H(6)N(5)S(1),NA,630116.4072,843080.2534,745177.5357,NA,776676.5388,769337.9128,756482.9272,800055.7751,785097.2663,794951.3768,706747.0919,809790.5059,930527.7898,462464.0147,970162.3378,864832.8039,782675.7261,1012309.192,NA,967786.8053,NA,NA,NA,NA,NA,NA,NA,584666.3331,426970.6643,1043147.059
LG3BP_N551_H(6)N(5)S(1)F(1),882795.8039,880267.0705,1171094.944,1127153.399,987546.092,1050620.906,1147150.408,1393897.623,1488936.32,1542043.002,1663544.279,1554942.289,1501214.302,1681532.461,NA,810995.6142,386039.5729,527161.8363,420029.897,422884.8639,341439.5007,508817.9642,377554.7377,444323.986,491458.5232,511628.3559,670015.4157,503715.1926,896598.8679,1033947.325,1037229.536
LG3BP_N551_H(6)N(5)S(2),5562246.351,3722183.397,5315610.682,6671464.367,6238245.202,9617389.417,6165399.751,5075484.744,5064102.038,5375086.176,6519893.776,4656469.907,9974402.632,9415189.996,4746705.126,4707669.698,7228943.129,6011059.003,8503291.317,4162767.651,6606083.667,5245390.18,7081336.255,3505449.842,1825464.977,4202119.262,5779484.051,7316194.699,3514170.738,5865179.247,7278998.687
LG3BP_N551_H(6)N(5)S(2)F(1),1161258.051,1134158.547,1327101.195,1500235.535,1719040.269,1335799.022,1297076.268,744093.2042,1021071.051,988596.9933,1063830.335,1092009.205,1282834.786,1303396.877,1148742.811,310917.1138,903133.9633,548324.4709,994762.0593,804457.8287,1429694.85,810216.5779,573876.0312,696399.4234,462412.2495,593453.49,576031.6803,644075.4504,791538.7212,799882.8271,1018418.114
FETUA_N176_H(10)N(7)F(2),1461527.985,1913464.505,2108385.544,1898127.658,1233879.466,867812.3345,1613805.093,923089.9264,996812.0709,809096.2248,907469.6977,853044.4496,NA,500493.5659,1913622.176,1388808.623,1433083.572,2056204.997,1519231.272,1664334.944,1047597.168,1736149.055,984730.5824,1242204.259,951372.3762,1119964.105,1035470.943,885277.8746,1216888.531,1335826.312,581904.3031
FETUA_N176_H(12)N(2),53786159.76,27179010.69,35091560.38,30095483.66,33115390.01,25817031.85,44044090.57,31143010.19,31534965.93,33879801.95,17504181.4,32334574.84,26010632.68,2135299.576,56279115.85,2370816.568,52994882.41,69036796.15,59576663.33,31553197.3,46239315.36,40401212.31,41949057.32,51036654.12,49900787.07,51491897.96,25303147.09,43336646.51,52280168.57,48526095.91,19801233.93
FETUA_N176_H(3)N(7)F(3),823420.5656,941631.0623,NA,1705996.053,NA,1090465.28,1134689.547,6195223.163,7410109.914,7146732.764,7511436.148,6085196.777,6448861.597,8110790.776,3699428.136,3291022.036,2921945.952,4211964.595,3935416.481,3106129.639,9543349.237,2889191.056,4559202.886,4443379.712,3577078.425,4087839.969,4059186.13,4626225.868,4225143.623,4705934.307,5514964.405
