"Feature","Weight"
"HV5X1",-0.579490303993225
"HV353",0.557931184768677
"IGHG2",0.537332713603973
"AMPL",-0.533232688903809
"CYTB",-0.519169867038727
"LV746",0.502312004566193
"GSTM1",0.445553213357925
"HV372",0.436181664466858
"LV743",0.40643247961998
"HV601",0.389498740434647
"HBG1",0.378144592046738
"HV374",0.357724845409393
"HV316",0.351723670959473
"TM272",0.350547611713409
"LV545",0.344737112522125
"ISG15",-0.343445748090744
"RLA0",-0.33394992351532
"LV211",0.333690285682678
"HV108",0.331112831830978
"LV218",0.321230381727219
