File,Protein_Accession,Protein_Name,Gene,Organism,Protein_Length,Protein_Mass_(Da),Number_Site,Number_Glycan,Number_Site_Specific_Glycan
SPQC_01_MA10140C_6010_080723_EVO,O14672,Disintegrin and metalloproteinase domain-containing protein 10,ADAM10,Homo sapiens,748,84087.6819,1,1,1
SPQC_01_MA10140C_6010_080723_EVO,O75326,Semaphorin-7A,SEMA7A,Homo sapiens,666,74776.1714,1,1,1
SPQC_01_MA10140C_6010_080723_EVO,O75636,Ficolin-3,FCN3,Homo sapiens,299,32881.9881,1,2,2
SPQC_01_MA10140C_6010_080723_EVO,O75882,Attractin,ATRN,Homo sapiens,1429,158432.4551,2,4,4
SPQC_01_MA10140C_6010_080723_EVO,O95445,Apolipoprotein M,APOM,Homo sapiens,188,21239.4384,1,2,2
SPQC_01_MA10140C_6010_080723_EVO,P00450,Ceruloplasmin,CP,Homo sapiens,1065,122141.5986,4,36,57
SPQC_01_MA10140C_6010_080723_EVO,P00734,Prothrombin,F2,Homo sapiens,622,69992.1207,3,11,19
SPQC_01_MA10140C_6010_080723_EVO,P00736,Complement C1r subcomponent,C1R,Homo sapiens,705,80066.8106,1,2,2
SPQC_01_MA10140C_6010_080723_EVO,P00738,Haptoglobin,HP,Homo sapiens,406,45176.5624,4,50,72
SPQC_01_MA10140C_6010_080723_EVO,P00739,Haptoglobin-related protein,HPR,Homo sapiens,348,39004.6778,3,30,36
SPQC_01_MA10140C_6010_080723_EVO,P00747,Plasminogen,PLG,Homo sapiens,810,90510.1529,1,5,5
SPQC_01_MA10140C_6010_080723_EVO,P00748,Coagulation factor XII,F12,Homo sapiens,615,67747.8913,2,6,10
SPQC_01_MA10140C_6010_080723_EVO,P00751,Complement factor B,CFB,Homo sapiens,764,85478.5204,3,8,11
SPQC_01_MA10140C_6010_080723_EVO,P00760,Cationic trypsin,null,Bos taurus,246,25768.6012,2,20,23
SPQC_01_MA10140C_6010_080723_EVO,P01008,Antithrombin-III,SERPINC1,Homo sapiens,464,52568.8618,3,7,9
SPQC_01_MA10140C_6010_080723_EVO,P01009,Alpha-1-antitrypsin,SERPINA1,Homo sapiens,418,46707.0172,3,19,23
SPQC_01_MA10140C_6010_080723_EVO,P01011,Alpha-1-antichymotrypsin,SERPINA3,Homo sapiens,423,47620.5342,3,21,30
SPQC_01_MA10140C_6010_080723_EVO,P01019,Angiotensinogen,AGT,Homo sapiens,476,52036.9515,1,11,11
SPQC_01_MA10140C_6010_080723_EVO,P01023,Alpha-2-macroglobulin,A2M,Homo sapiens,1474,163187.8838,5,21,26
SPQC_01_MA10140C_6010_080723_EVO,P01024,Complement C3,C3,Homo sapiens,1663,187029.8664,1,3,3
SPQC_01_MA10140C_6010_080723_EVO,P01042,Kininogen-1,KNG1,Homo sapiens,644,71912.1475,5,19,31
SPQC_01_MA10140C_6010_080723_EVO,P01591,Immunoglobulin J chain,JCHAIN,Homo sapiens,159,18086.9938,1,15,15
SPQC_01_MA10140C_6010_080723_EVO,P01857,Immunoglobulin heavy constant gamma 1,IGHG1,Homo sapiens,399,43884.1027,1,28,28
SPQC_01_MA10140C_6010_080723_EVO,P01859,Immunoglobulin heavy constant gamma 2,IGHG2,Homo sapiens,395,43777.7715,1,29,29
SPQC_01_MA10140C_6010_080723_EVO,P01861,Immunoglobulin heavy constant gamma 4,IGHG4,Homo sapiens,396,43803.8656,1,14,14
SPQC_01_MA10140C_6010_080723_EVO,P01871,Immunoglobulin heavy constant mu,IGHM,Homo sapiens,474,51890.9321,2,38,50
SPQC_01_MA10140C_6010_080723_EVO,P01876,Immunoglobulin heavy constant alpha 1,IGHA1,Homo sapiens,398,42821.3175,1,1,1
SPQC_01_MA10140C_6010_080723_EVO,P01877,Immunoglobulin heavy constant alpha 2,IGHA2,Homo sapiens,391,42306.9526,4,19,31
SPQC_01_MA10140C_6010_080723_EVO,P02675,Fibrinogen beta chain,FGB,Homo sapiens,491,55892.2582,1,19,19
SPQC_01_MA10140C_6010_080723_EVO,P02679,Fibrinogen gamma chain,FGG,Homo sapiens,453,51478.8645,1,15,15
SPQC_01_MA10140C_6010_080723_EVO,P02730,Band 3 anion transport protein,SLC4A1,Homo sapiens,911,101727.4074,1,2,2
SPQC_01_MA10140C_6010_080723_EVO,P02745,Complement C1q subcomponent subunit A,C1QA,Homo sapiens,245,26000.1863,1,7,7
SPQC_01_MA10140C_6010_080723_EVO,P02748,Complement component C9,C9,Homo sapiens,559,63132.6961,2,2,4
